DetectorType,DetID
9,2504979981
8,2188654093
8,2241876259
8,2268218432
8,2270924905
8,2260881861
8,2302353067
8,2197691082
8,2227355826
9,2509888003
8,2299627843
9,2473752275
9,2599560429
8,2189282949
9,2476753428
8,2286112386
8,2234289358
9,2533678414
8,2273953842
9,2471533736
8,2164033601
8,2186860196
8,2271789482
9,2524196361
9,2425587333
8,2326589802
9,2429850643
9,2437419239
8,2185672078
8,2307781160
8,2266663141
8,2326118423
9,2436481344
9,2523176361
8,2195953707
8,2307232100
9,2473990728
9,2485790854
9,2429629012
9,2601190485
8,2309022450
8,2232119299
8,2325795856
9,2554419210
9,2590166475
9,2421708045
8,2275624546
8,2254347826
8,2331705958
8,2251196548
8,2228972212
8,2295769485
9,2425646103
9,2531405138
9,2439256136
9,2467637455
9,2540827085
9,2533189140
8,2271654277
9,2457374099
9,2433885202
8,2156593188
8,2319240576
9,2500455690
8,2340496746
8,2219335083
9,2578041036
8,2283886985
8,2340150824
8,2155988453
9,2570306129
8,2154699981
9,2567708259
9,2544586982
9,2423002547
9,2528881056
9,2457081938
8,2335235246
9,2419234981
8,2227421446
8,2174791723
8,2184948259
9,2593051668
8,2231807183
8,2187859115
8,2215905448
9,2524695937
9,2604811682
8,2268419077
9,2561209731
9,2470037838
8,2186157258
8,2191149133
8,2253524623
8,2292973862
8,2260949520
9,2606425101
9,2573823412
9,2609279063
9,2592011381
9,2494379047
8,2151732591
8,2203661960
9,2525890592
8,2149140885
9,2433522727
8,2336025955
8,2228797678
8,2276334950
9,2426458410
9,2535149827
8,2250361938
9,2475412555
8,2249552047
8,2152435983
8,2172941733
8,2303371537
8,2153322677
8,2190350737
9,2422081026
9,2475000969
9,2529608725
9,2430858241
8,2251169457
8,2153902227
9,2426072135
9,2539051595
8,2251975008
9,2551947304
9,2592251555
8,2335388193
9,2610793058
8,2238113984
8,2188829010
8,2261870994
8,2308234635
8,2270973968
8,2294207650
8,2291149416
8,2198575685
8,2193328642
9,2541282568
8,2154729130
9,2475828834
9,2555975086
9,2461751663
9,2470183505
9,2577598896
8,2276282965
8,2250354253
8,2305447173
9,2596012535
8,2167151780
